expiration_date,strike_price,type,implied_volatility,open_interest,last_price
2025-09-19,5.0,call,1.0000000000000003e-05,17,197.15
2025-09-19,10.0,call,1.0000000000000003e-05,1,192.1
2025-09-19,15.0,call,1.0000000000000003e-05,2,209.8
2025-09-19,20.0,call,1.0000000000000003e-05,3,201.0
2025-09-19,25.0,call,1.0000000000000003e-05,2,153.1
2025-09-19,30.0,call,1.0000000000000003e-05,1,202.75
2025-09-19,35.0,call,1.0781296093750001,2,172.25
2025-09-19,40.0,call,0.99804689453125,1,152.75
2025-09-19,50.0,call,0.73437765625,1084,150.65
2025-09-19,55.0,call,0.8642591699218749,123,137.5
2025-09-19,60.0,call,0.823243955078125,110,140.7
2025-09-19,65.0,call,0.80664255859375,73,138.85
2025-09-19,70.0,call,0.8281267187499999,50,133.15
2025-09-19,75.0,call,2.3579142614746087,310,156.01
2025-09-19,80.0,call,1.0000000000000003e-05,36,133.84
2025-09-19,85.0,call,0.7688011401367189,203,138.0
2025-09-19,90.0,call,0.7199735034179688,183,116.13
2025-09-19,95.0,call,1.0000000000000003e-05,36,148.35
2025-09-19,100.0,call,0.6894562304687502,1053,93.3
2025-09-19,105.0,call,0.6674837939453127,48,104.1
2025-09-19,110.0,call,0.650516190185547,889,89.3
2025-09-19,115.0,call,0.6091347680664063,99,80.55
2025-09-19,120.0,call,0.6059609716796877,1169,75.05
2025-09-19,125.0,call,0.5800823242187501,540,77.45
2025-09-19,130.0,call,0.5688519677734375,66,75.9
2025-09-19,135.0,call,0.5401657312011721,117,68.96
2025-09-19,140.0,call,0.528447098388672,953,70.9
2025-09-19,145.0,call,0.5120288055419921,260,59.45
2025-09-19,150.0,call,0.5019581054687501,3772,62.4
2025-09-19,155.0,call,0.4864553308105469,169,57.65
2025-09-19,160.0,call,0.46429979064941407,1408,51.45
2025-09-19,165.0,call,0.45523616058349614,913,49.35
2025-09-19,170.0,call,0.44043528320312497,500,43.5
2025-09-19,175.0,call,0.42456630126953127,1026,38.74
2025-09-19,180.0,call,0.41559422302246096,846,34.8
2025-09-19,185.0,call,0.4033873138427735,2499,30.55
2025-09-19,190.0,call,0.39243161285400385,2153,27.89
2025-09-19,195.0,call,0.3812317736816406,1914,24.93
2025-09-19,200.0,call,0.3715883154296875,7680,21.59
2025-09-19,205.0,call,0.3612734771728515,2091,18.62
2025-09-19,210.0,call,0.3519657089233398,4849,16.0
2025-09-19,215.0,call,0.3425969061279296,5840,13.55
2025-09-19,220.0,call,0.3339300006103516,8288,11.5
2025-09-19,225.0,call,0.3250189569091796,8097,9.11
2025-09-19,230.0,call,0.31891550231933585,7895,7.77
2025-09-19,235.0,call,0.3128120477294921,5695,6.2
2025-09-19,240.0,call,0.30573204040527346,10364,4.87
2025-09-19,245.0,call,0.30023893127441403,8019,4.0
2025-09-19,250.0,call,0.295905478515625,11980,3.15
2025-09-19,255.0,call,0.291877198486328,2869,2.76
2025-09-19,260.0,call,0.28967995483398434,6247,2.01
2025-09-19,265.0,call,0.2880930566406249,5242,1.6
2025-09-19,270.0,call,0.2877268493652343,6450,1.26
2025-09-19,275.0,call,0.287970987548828,4827,1.07
2025-09-19,280.0,call,0.2877268493652343,5288,0.79
2025-09-19,285.0,call,0.2890696093749999,1621,0.64
2025-09-19,290.0,call,0.29077857666015616,5435,0.54
2025-09-19,295.0,call,0.29321995849609367,1650,0.46
2025-09-19,300.0,call,0.29492892578124996,3972,0.34
2025-09-19,305.0,call,0.29761444580078117,1790,0.26
2025-09-19,310.0,call,0.30152065673828127,3442,0.25
2025-09-19,320.0,call,0.30811238769531246,3810,0.17
2025-09-19,330.0,call,0.3149482568359374,1307,0.13
2025-09-19,340.0,call,0.32617861328125,863,0.09
2025-09-19,350.0,call,0.335944140625,3715,0.1
2025-09-19,360.0,call,0.3437565625,664,0.07
2025-09-19,370.0,call,0.3540103662109374,115,0.12
2025-09-19,380.0,call,0.3632876171875,145,0.1
2025-09-19,390.0,call,0.3711000390625,4480,0.04
2025-09-19,5.0,put,1.78125109375,3286,0.01
2025-09-19,10.0,put,1.5000025,16,0.01
2025-09-19,15.0,put,1.79296978515625,11,0.01
2025-09-19,20.0,put,1.1875040625,112,0.01
2025-09-19,25.0,put,1.0781296093750001,3,0.02
2025-09-19,35.0,put,0.945313046875,11,0.08
2025-09-19,40.0,put,0.9023447265625,69,0.05
2025-09-19,45.0,put,0.867188828125,708,0.06
2025-09-19,50.0,put,0.8300798242187499,790,0.05
2025-09-19,55.0,put,0.79883013671875,505,0.1
2025-09-19,60.0,put,0.773439765625,454,0.13
2025-09-19,65.0,put,0.7421900781249999,280,0.24
2025-09-19,70.0,put,0.7187528125,367,0.22
2025-09-19,75.0,put,0.6948272705078126,571,0.21
2025-09-19,80.0,put,0.6728548339843752,268,0.23
2025-09-19,85.0,put,0.65039412109375,373,0.45
2025-09-19,90.0,put,0.6301306518554688,2221,0.43
2025-09-19,95.0,put,0.6069375244140626,82,0.77
2025-09-19,100.0,put,0.5891154370117189,414,0.6
2025-09-19,105.0,put,0.5698285205078125,1402,0.79
2025-09-19,110.0,put,0.5522505712890625,1179,0.71
2025-09-19,115.0,put,0.5334519311523438,556,1.16
2025-09-19,120.0,put,0.5178270874023438,3249,1.2
2025-09-19,125.0,put,0.5002491381835938,654,1.25
2025-09-19,130.0,put,0.48633326171875,1230,1.41
2025-09-19,135.0,put,0.47095255615234377,3709,1.64
2025-09-19,140.0,put,0.45691461059570315,4506,2.23
2025-09-19,145.0,put,0.4425104577636719,2319,2.3
2025-09-19,150.0,put,0.42810630493164065,2136,3.2
2025-09-19,155.0,put,0.41797457031249996,1854,3.57
2025-09-19,160.0,put,0.404730073852539,7487,3.6
2025-09-19,165.0,put,0.39667351379394533,4825,4.91
2025-09-19,170.0,put,0.38373419006347653,7884,5.0
2025-09-19,175.0,put,0.37448745635986325,5296,7.0
2025-09-19,180.0,put,0.3630129617309571,6994,8.15
2025-09-19,185.0,put,0.3539188143920897,6305,9.46
2025-09-19,190.0,put,0.34540449523925776,9000,10.85
2025-09-19,195.0,put,0.33411310424804685,10861,12.55
2025-09-19,200.0,put,0.324927405090332,13639,14.3
2025-09-19,205.0,put,0.31546705047607415,8119,16.75
2025-09-19,210.0,put,0.3054573849487304,8961,18.1
2025-09-19,215.0,put,0.29761444580078117,4861,21.0
2025-09-19,220.0,put,0.28983254119873036,7220,24.25
2025-09-19,225.0,put,0.28321029296874994,9501,25.5
2025-09-19,230.0,put,0.273444765625,3281,34.4
2025-09-19,235.0,put,0.2710033837890625,2713,31.55
2025-09-19,240.0,put,0.2662426892089844,3875,50.0
2025-09-19,245.0,put,0.2540968145751954,4194,40.55
2025-09-19,250.0,put,0.24994646545410154,1430,54.55
2025-09-19,255.0,put,0.26319096191406255,434,48.5
2025-09-19,260.0,put,0.25977302734375,48,57.16
2025-09-19,265.0,put,0.26734131103515624,25,77.52
2025-09-19,270.0,put,0.2869944348144531,0,90.0
2025-09-19,275.0,put,0.29004616210937495,2,86.65
2025-09-19,280.0,put,0.31201859863281245,0,82.78
2025-09-19,285.0,put,1.0000000000000003e-05,0,46.8
2025-09-19,290.0,put,1.0000000000000003e-05,0,51.25
2025-09-19,295.0,put,1.0000000000000003e-05,0,42.7
2025-09-19,300.0,put,0.3717103845214844,0,100.1
2025-09-19,310.0,put,1.0000000000000003e-05,0,59.5
2025-09-19,320.0,put,1.0000000000000003e-05,0,105.9
2025-09-19,340.0,put,1.0000000000000003e-05,0,110.48
2025-09-19,350.0,put,1.0000000000000003e-05,0,122.84
